Category,Product_ID,Sales_Quantity,Sales_Price,Sale_Date
Home Appliances,384471,59,685.77,2023-06-09
Groceries,420758,97,530.46,2024-03-25
Groceries,202170,7,197.77,2023-12-22
Electronics,858047,53,364.87,2023-07-22
Clothing,473543,78,741.11,2023-06-01
Clothing,381609,57,932.78,2023-06-14
Clothing,567069,87,781.57,2023-10-27
Groceries,381452,88,164.77,2023-11-21
Groceries,233303,59,461.63,2023-08-18
Groceries,262039,36,758.47,2023-07-11
Electronics,321743,8,83.62,2024-01-26
Electronics,897405,21,951.7,2023-06-13
Groceries,668182,71,127.71,2024-03-30
Groceries,536166,31,89.32,2023-07-31
Electronics,747454,17,833.93,2023-12-15
Groceries,187843,69,233.47,2023-08-14
Electronics,234481,33,152.41,2023-09-17
Groceries,238683,35,787.47,2024-01-02
Groceries,184454,58,931.13,2023-07-19
Electronics,375805,14,21.33,2023-06-21
Groceries,275556,85,278.13,2023-12-17
Clothing,264932,41,347.92,2024-04-03
Clothing,393185,22,30.01,2023-12-07
Clothing,656244,79,331.1,2024-01-08
Home Appliances,395424,56,187.16,2024-03-19
Groceries,030439,34,860.07,2023-05-29
Groceries,335210,10,32.67,2023-07-11
Groceries,945015,9,517.11,2024-01-03
Clothing,415573,7,988.49,2024-01-19
Electronics,575763,66,811.88,2023-11-05
Groceries,007827,40,104.44,2024-02-04
Clothing,596479,35,925.92,2023-06-13
Electronics,334088,8,283.63,2024-05-10
Clothing,538944,41,33.44,2024-03-21
Home Appliances,743363,58,206.96,2023-07-05
Home Appliances,284560,35,182.91,2023-07-09
Home Appliances,915637,2,607.9,2023-06-23
Clothing,765095,46,376.57,2024-04-01
Groceries,450735,70,246.95,2023-06-10
Groceries,047906,33,344.45,2024-02-02
Clothing,881964,6,785.35,2024-03-04
Home Appliances,061345,53,947.05,2024-02-11
Home Appliances,502641,13,785.09,2024-04-07
Electronics,892232,68,950.59,2023-06-04
Home Appliances,301592,18,277.41,2024-01-02
Clothing,419696,59,232.1,2023-10-27
Electronics,425589,59,478.9,2023-06-10
Clothing,659077,82,100.01,2023-08-03
Electronics,945008,45,236.05,2024-01-31
Groceries,729232,53,209.22,2023-07-28
Electronics,396862,68,967.21,2023-08-02
Groceries,069686,73,818.45,2024-04-15
Groceries,637958,88,41.11,2023-10-06
Clothing,972094,53,717.21,2024-01-08
Groceries,981864,83,651.93,2023-06-18
Home Appliances,368352,83,281.58,2024-02-20
Clothing,334113,75,40.08,2023-06-24
Electronics,947388,78,626.9,2024-03-14
Electronics,138405,81,384.77,2023-07-24
Groceries,431739,23,958.05,2023-07-11
Home Appliances,308569,19,449.72,2023-06-10
Groceries,150067,91,137.63,2024-04-08
Home Appliances,516682,52,117.32,2024-04-16
Clothing,113721,17,519.78,2023-08-08
Home Appliances,001517,27,787.03,2023-05-22
Electronics,717735,21,800.46,2023-06-26
Electronics,406567,70,435.67,2023-07-16
Clothing,345968,93,628.8,2024-04-07
Electronics,015297,85,242.69,2024-03-18
Electronics,675740,19,805.36,2024-03-14
Home Appliances,421816,81,403.41,2023-12-22
Groceries,796437,63,795.61,2024-03-21
Electronics,464046,13,776.55,2023-11-07
Electronics,543912,31,978.12,2024-04-25
Clothing,452310,88,946.98,2023-10-01
Clothing,944620,1,771.92,2024-04-11
Home Appliances,692642,10,615.36,2023-07-21
Electronics,943775,3,353.85,2023-06-07
Home Appliances,728894,71,134.43,2023-10-21
Groceries,072203,88,139.38,2023-06-21
Clothing,651525,18,607.34,2023-12-25
Clothing,573160,78,812.82,2024-02-19
Groceries,087419,33,133.22,2023-08-01
Home Appliances,043974,40,321.64,2023-08-15
Groceries,645823,30,384.99,2024-02-06
Home Appliances,371827,81,453.65,2023-09-25
Electronics,089221,91,417.52,2023-10-03
Electronics,470899,68,109.78,2023-05-23
Clothing,231770,18,207.89,2023-11-19
Groceries,026452,56,247.22,2023-06-25
Groceries,037292,89,714.15,2024-04-09
Electronics,091839,13,843.3,2023-11-13
Electronics,552823,70,471.1,2024-02-19
Clothing,027622,46,520.36,2023-07-30
Clothing,489435,58,602.24,2023-08-25
Electronics,963631,96,421.39,2023-10-11
Electronics,883472,47,398.76,2023-07-28
Electronics,806391,88,155.72,2024-03-20
Groceries,733835,28,559.05,2023-07-18
Groceries,492388,87,402.47,2023-12-24
Groceries,041344,48,344.58,2023-12-25
Clothing,275415,29,239.77,2023-07-17
Groceries,438368,9,585.15,2023-06-25
Home Appliances,552533,47,984.19,2024-05-04
Electronics,693084,84,444.85,2023-05-29
Clothing,324346,26,484.27,2023-10-04
Groceries,006735,84,267.28,2023-05-17
Groceries,842210,31,159.02,2023-11-30
Electronics,110740,66,186.01,2024-03-03
Electronics,522017,52,994.18,2023-09-09
Groceries,773247,10,263.86,2023-08-18
Clothing,375539,87,147.38,2023-07-19
Home Appliances,531289,91,667.81,2024-04-14
Groceries,154149,71,592.22,2023-10-14
Electronics,085639,54,711.95,2024-03-19
Home Appliances,493244,56,655.87,2024-04-11
Groceries,335200,78,729.35,2023-09-16
Clothing,577868,79,46.51,2023-11-28
Home Appliances,174818,28,953.47,2023-10-29
Electronics,377161,70,128.43,2023-07-26
Groceries,327760,80,912.12,2024-05-03
Clothing,389565,43,837.43,2024-01-17
Electronics,104095,83,413.28,2024-04-24
Groceries,643904,72,371.85,2023-07-23
Electronics,834541,51,918.26,2023-11-13
Clothing,958340,53,834.0,2023-07-11
Groceries,592870,4,998.14,2023-07-30
Clothing,523261,89,500.7,2023-06-26
Clothing,987817,48,858.09,2024-01-29
Home Appliances,685746,4,567.81,2024-04-07
Electronics,057999,41,94.72,2024-02-01
Electronics,948565,82,839.17,2023-11-21
Electronics,306352,71,419.03,2023-05-27
Electronics,792636,57,624.03,2023-07-27
Groceries,073450,78,713.63,2023-06-26
Electronics,466742,68,194.04,2023-07-29
Electronics,319933,54,641.93,2024-02-22
Groceries,132889,86,368.23,2024-03-08
Clothing,281777,16,566.23,2024-03-25
Electronics,488568,57,72.2,2024-04-01
Electronics,524950,65,613.91,2024-04-17
Groceries,402529,57,625.51,2023-06-02
Clothing,783057,53,32.03,2023-08-14
Groceries,365000,70,520.26,2024-03-15
Clothing,152902,12,692.92,2024-05-03
Groceries,843414,69,51.52,2024-05-12
Groceries,521516,24,503.3,2023-07-25
Clothing,669682,90,137.21,2023-12-13
Groceries,767786,26,390.13,2024-02-29
Electronics,874419,88,496.72,2024-04-19
Electronics,845346,83,600.23,2023-11-24
Clothing,006018,22,631.55,2024-01-08
Clothing,655596,54,730.85,2023-10-13
Groceries,334431,1,97.0,2023-09-30
Electronics,834496,75,609.4,2023-06-02
Clothing,179662,89,632.18,2023-09-20
Clothing,931467,43,592.84,2023-09-12
Home Appliances,102027,63,104.45,2023-11-15
Clothing,263390,67,981.0,2023-07-11
Clothing,112562,15,383.28,2024-03-16
Clothing,687242,43,569.84,2023-11-08
Home Appliances,379682,92,948.24,2024-04-25
Clothing,973809,77,141.64,2023-05-19
Electronics,642908,60,487.8,2024-04-30
Electronics,736542,32,862.26,2024-03-19
Clothing,953074,5,685.01,2024-03-11
Clothing,459426,85,201.75,2023-06-07
Groceries,245649,86,221.85,2023-09-06
Groceries,694709,29,890.8,2024-05-11
Home Appliances,579928,53,275.19,2024-02-20
Groceries,288762,63,992.41,2023-07-19
Electronics,093167,66,903.79,2023-12-18
Home Appliances,769655,89,36.59,2023-12-21
Electronics,327353,63,517.58,2023-10-01
Groceries,099443,33,141.64,2024-03-28
Electronics,083560,90,312.87,2024-04-30
Electronics,267196,76,502.77,2024-01-21
Electronics,705742,55,186.37,2023-08-24
Groceries,710775,77,723.05,2023-08-30
Groceries,524082,93,882.6,2023-11-05
Electronics,191114,15,939.69,2023-10-12
Clothing,108619,23,81.59,2023-08-03
Clothing,693842,73,249.44,2023-11-16
Electronics,554206,70,664.59,2023-06-21
Clothing,440655,35,937.52,2023-11-08
Clothing,877330,12,262.12,2024-03-21
Clothing,311747,14,59.95,2024-02-08
Groceries,670103,49,170.24,2024-04-10
Groceries,668358,94,885.4,2023-08-25
Groceries,160468,15,659.47,2023-05-20
Clothing,277849,21,201.68,2023-09-29
Electronics,076202,4,536.41,2023-11-14
Electronics,654993,75,605.38,2024-05-08
Groceries,230828,47,117.47,2023-12-25
Clothing,741209,71,895.96,2024-03-15
Electronics,923598,32,723.59,2024-03-12
Home Appliances,925774,55,504.83,2023-06-18
Clothing,051082,69,722.95,2024-01-07
Home Appliances,681283,76,55.38,2024-02-06
Home Appliances,387773,83,640.67,2023-08-29
Electronics,114454,84,979.4,2023-09-19
Home Appliances,222137,72,554.42,2023-10-11
Groceries,590106,1,566.44,2023-09-13
Groceries,248535,17,526.03,2023-11-15
Electronics,533512,50,960.29,2024-02-27
Groceries,943028,2,484.27,2024-04-16
Clothing,886144,38,272.6,2024-02-26
Electronics,414578,7,732.76,2023-06-10
Groceries,063123,46,947.1,2024-04-20
Clothing,937536,80,165.5,2023-06-15
Groceries,743055,86,279.61,2023-05-19
Electronics,888331,65,969.43,2024-02-09
Electronics,591419,5,309.86,2023-09-15
Clothing,116310,89,233.85,2023-07-18
Groceries,417779,97,91.0,2024-01-28
Clothing,767742,52,14.28,2023-12-19
Clothing,054803,17,670.3,2023-11-29
Electronics,401628,36,964.32,2024-05-03
Electronics,082010,36,334.86,2024-04-29
Electronics,177907,41,520.84,2023-06-06
Clothing,107847,46,469.61,2024-01-22
Groceries,927200,32,698.05,2023-10-06
Clothing,637509,10,34.06,2024-04-10
Groceries,687458,39,993.25,2023-10-09
Electronics,608623,94,274.14,2023-11-11
Groceries,826996,62,493.06,2023-06-06
Clothing,456982,2,78.33,2023-12-19
Groceries,825132,79,144.13,2024-04-14
Electronics,659051,7,583.48,2023-06-18
Electronics,104280,88,233.12,2024-04-21
Groceries,262684,4,564.21,2024-04-23
Groceries,577081,51,281.24,2023-12-03
Groceries,778449,10,84.82,2023-07-14
Electronics,312326,41,290.1,2023-09-23
Home Appliances,761544,75,51.97,2023-09-27
Groceries,216225,52,923.02,2024-03-25
Home Appliances,991934,11,940.09,2023-12-28
Electronics,546701,48,14.52,2024-03-09
Groceries,820610,70,765.24,2023-06-24
Electronics,484065,50,530.54,2024-04-28
Clothing,027953,40,949.43,2023-07-01
Clothing,391716,84,560.57,2023-09-28
Electronics,986749,5,911.16,2023-06-26
Groceries,597931,15,447.25,2023-07-26
Clothing,499050,47,998.13,2023-07-20
Electronics,562573,32,530.1,2023-10-10
Clothing,413378,73,816.2,2024-01-19
Clothing,955272,30,211.54,2023-08-03
Electronics,146363,72,538.07,2024-02-03
Home Appliances,662575,1,698.81,2023-10-26
Groceries,578741,39,943.61,2023-12-13
Groceries,900413,51,385.06,2023-09-11
Groceries,749424,32,822.14,2024-02-08
Electronics,331525,22,617.89,2023-08-30
Clothing,394586,77,794.21,2024-05-01
Home Appliances,316424,70,610.13,2023-08-05
Groceries,414998,82,658.62,2023-12-06
Electronics,952742,73,135.31,2023-08-07
Groceries,139343,21,954.37,2023-11-02
Electronics,334397,98,533.85,2023-10-02
Clothing,756261,51,437.89,2024-04-24
Groceries,048458,37,181.23,2023-05-20
Groceries,773378,28,644.93,2023-08-28
Electronics,275870,52,675.21,2023-05-18
Groceries,016757,54,540.77,2024-02-02
Groceries,286461,1,444.83,2023-05-30
Clothing,609313,82,719.13,2023-09-06
Electronics,654742,79,620.72,2023-10-01
Clothing,001368,91,210.03,2023-07-11
Electronics,323168,73,38.17,2024-03-08
Electronics,973983,23,571.34,2024-03-02
Groceries,896160,58,699.52,2023-07-05
Groceries,716701,86,60.33,2023-10-04
Groceries,159501,65,756.62,2023-11-02
Clothing,357770,63,543.23,2024-03-28
Groceries,887480,21,598.42,2023-08-11
Groceries,881538,66,250.38,2024-03-17
Clothing,779071,83,191.82,2023-06-13
