Category,Product_ID,Sales_Quantity,Sales_Price,Sale_Date
Groceries,972954,67,68.68,2023-07-14
Electronics,939265,11,422.26,2023-06-03
Groceries,189743,49,536.07,2023-10-11
Clothing,028598,70,539.54,2023-10-04
Electronics,251058,13,551.35,2023-07-28
Clothing,931790,82,159.63,2023-05-20
Electronics,144221,74,279.41,2023-07-27
Electronics,711132,50,681.52,2024-02-28
Home Appliances,630934,43,843.71,2023-09-26
Clothing,308033,21,701.87,2023-10-26
Home Appliances,259587,43,894.71,2023-10-13
Electronics,636042,61,272.08,2023-07-21
Groceries,440665,70,407.81,2023-08-20
Clothing,020559,78,513.01,2023-10-09
Clothing,292551,19,16.71,2023-10-20
Clothing,810587,90,605.67,2024-03-11
Electronics,212791,20,466.84,2023-07-20
Electronics,196046,97,565.22,2023-12-09
Clothing,098102,26,524.79,2023-11-09
Electronics,265212,42,823.06,2024-01-07
Home Appliances,427859,66,117.64,2023-06-19
Groceries,666222,99,48.65,2023-08-15
Home Appliances,183506,59,134.47,2024-01-18
Electronics,709194,50,573.42,2023-08-25
Clothing,118314,96,229.56,2023-09-26
Groceries,954470,94,302.37,2024-05-10
Groceries,861248,85,987.97,2023-12-18
Clothing,802729,18,571.76,2023-09-23
Groceries,771546,25,317.03,2023-06-14
Electronics,603874,62,527.49,2024-05-12
Clothing,417911,22,948.64,2024-01-13
Electronics,214433,53,708.24,2023-11-20
Electronics,588348,29,231.7,2024-02-20
Clothing,677681,29,944.82,2023-10-17
Electronics,255817,72,781.27,2024-05-07
Groceries,886355,74,734.3,2023-07-15
Groceries,259822,83,84.37,2023-08-06
Electronics,395390,18,541.24,2023-10-05
Groceries,549275,58,222.75,2023-10-07
Clothing,350667,67,81.59,2023-08-20
Home Appliances,295391,61,104.38,2023-10-12
Electronics,651794,37,779.82,2024-01-31
Electronics,812600,1,820.65,2023-06-06
Electronics,326515,64,848.56,2024-03-14
Electronics,896755,63,280.55,2024-04-23
Clothing,374570,4,443.21,2023-08-04
Electronics,919452,77,717.18,2023-08-05
Clothing,317216,40,266.32,2024-03-02
Groceries,541185,9,256.09,2023-11-26
Electronics,133873,50,12.34,2023-12-21
Electronics,694243,9,177.32,2023-12-28
Home Appliances,542063,4,928.08,2023-06-02
Electronics,811456,89,679.33,2023-11-02
Clothing,302753,57,618.88,2023-08-12
Electronics,658957,12,93.01,2023-10-05
Electronics,704215,6,275.26,2023-10-09
Home Appliances,778971,87,255.63,2024-03-12
Clothing,858375,94,168.7,2024-01-25
Home Appliances,359021,39,878.59,2024-03-04
Home Appliances,652860,61,805.62,2023-11-24
Clothing,996049,56,642.87,2023-10-05
Electronics,521911,66,593.79,2024-03-04
Clothing,012188,48,558.17,2023-11-27
Clothing,793836,90,938.48,2024-02-08
Electronics,583125,35,528.86,2023-11-23
Clothing,736846,27,141.44,2023-11-22
Groceries,859969,55,887.53,2023-10-01
Groceries,911025,67,349.74,2023-09-07
Groceries,877550,58,791.9,2023-12-04
Clothing,113942,41,492.63,2023-10-25
Electronics,674770,84,525.7,2023-08-27
Electronics,580327,29,661.29,2024-01-23
Clothing,568086,61,285.08,2023-11-27
Electronics,994832,74,63.15,2024-04-08
Clothing,933467,92,728.89,2023-12-10
Electronics,986137,18,520.16,2023-10-31
Groceries,471446,66,499.26,2023-10-22
Groceries,486086,62,329.02,2023-10-23
Home Appliances,425691,27,481.12,2024-02-25
Clothing,174611,70,734.7,2023-11-26
Clothing,913903,7,95.02,2023-08-11
Groceries,245946,12,715.92,2023-11-03
Home Appliances,676607,38,115.28,2023-10-08
Groceries,167461,35,371.35,2023-08-13
Electronics,009167,81,121.99,2023-07-10
Clothing,287053,58,373.87,2023-11-14
Groceries,805210,94,348.7,2023-10-25
Home Appliances,516085,79,762.07,2023-05-31
Electronics,544823,14,583.69,2023-08-25
Electronics,004910,92,763.6,2024-05-01
Groceries,983092,93,496.39,2023-07-19
