Category,Product_ID,Sales_Quantity,Sales_Price,Sale_Date,Customer_ID,Supplier_ID
Groceries,059751,58,261.87,2023-07-18,FCAE,ZZZ
Clothing,869057,80,786.44,2023-06-09,CADC,XYZ
Electronics,443529,72,191.64,2024-03-02,DHEC,YZY
Electronics,694485,47,688.55,2023-09-11,GHEC,WYY
Groceries,882290,94,437.56,2023-10-30,ABGH,WXY
Electronics,585317,73,599.13,2023-09-14,BCGB,YZY
Clothing,877243,39,335.21,2023-07-13,HAFB,ZZW
Clothing,448637,40,49.16,2023-11-19,ECCD,ZWW
Electronics,349593,13,448.91,2023-08-16,HBED,ZXZ
Groceries,791386,81,259.08,2023-09-01,FGFB,WWY
Electronics,329722,89,184.57,2023-12-11,DHEC,YZW
Home Appliances,298843,85,930.91,2023-06-15,HADE,XWY
Home Appliances,257034,57,109.99,2024-04-16,BEFE,XXW
Groceries,483216,95,837.01,2024-05-04,DGDD,WYW
Electronics,486175,28,615.73,2023-10-07,HDAE,YYY
Electronics,294290,87,114.95,2023-12-30,EEHA,YZY
Groceries,781776,20,812.11,2023-10-16,FFCB,ZYW
Electronics,548281,72,586.04,2024-05-11,EEEC,YYW
Groceries,117218,37,44.04,2024-01-23,ECHD,YWW
Groceries,072679,84,182.41,2024-02-25,BBBC,XYX
Clothing,373910,6,315.86,2024-04-25,EDEF,ZYZ
Electronics,147492,64,760.86,2024-02-06,DHCH,YWZ
Electronics,769863,53,450.92,2024-03-22,DACF,XZX
Groceries,543003,57,380.5,2023-07-25,GDGD,YZW
Electronics,496761,60,672.68,2023-08-29,ECFC,XWY
Electronics,471087,65,531.24,2023-05-25,CAGG,YZZ
Electronics,942400,11,666.41,2023-12-08,GDGF,WXZ
Clothing,086205,48,778.87,2023-12-22,EFCH,ZXX
Home Appliances,799074,34,414.86,2024-02-23,FGHA,ZWY
Groceries,943088,99,856.39,2024-01-23,HCFB,ZXX
Home Appliances,359724,34,687.05,2023-10-01,AEAC,XYY
Groceries,766999,62,699.98,2023-07-11,AFHB,WWZ
Groceries,028704,19,937.89,2024-04-20,ADGG,YYX
Electronics,716268,84,684.19,2023-11-16,CFHH,WWZ
Home Appliances,918851,44,568.43,2023-06-28,ABFF,XWZ
Clothing,694645,97,489.24,2023-05-24,GCBB,ZXZ
Electronics,269335,10,555.25,2023-06-19,HDGG,WYW
Electronics,330369,52,784.35,2024-04-26,ADEB,ZZZ
Clothing,793439,40,425.17,2023-11-09,CEDB,YWY
Groceries,372626,23,768.59,2023-10-15,GCDG,ZZZ
Electronics,609598,12,658.99,2023-08-15,DBFH,YXW
Electronics,397951,20,156.65,2024-03-31,HDAH,YYZ
Groceries,687228,70,298.63,2023-07-22,ABCG,WXX
Clothing,880640,69,281.08,2024-03-25,FGCA,ZYW
Electronics,282671,63,715.0,2023-05-21,BGFD,YZX
Groceries,547497,6,775.23,2023-10-07,ADBB,ZWZ
Clothing,126931,49,257.59,2024-03-22,ECDD,XZZ
Groceries,031651,66,820.54,2024-02-15,GGCB,YWY
Clothing,352264,10,829.3,2024-02-25,FHCH,WZZ
Clothing,875917,33,569.43,2023-11-08,DGGB,ZYZ
Groceries,818803,1,313.13,2024-04-21,GHGB,WYW
Electronics,924754,57,367.58,2024-04-23,GHFB,XYW
Electronics,445417,83,979.41,2023-08-19,HFGF,ZYW
Home Appliances,889021,38,263.28,2023-08-28,DAGE,WZX
Electronics,578025,58,995.38,2023-08-13,GAHA,WYZ
Electronics,659947,24,688.79,2023-06-05,HAEA,YYZ
Groceries,842922,79,866.91,2024-01-09,FFCE,WWY
Clothing,279105,39,169.95,2023-09-10,EBEB,YZW
Electronics,831671,35,341.72,2023-12-12,GBCG,YWX
Electronics,857321,41,698.24,2023-11-26,BEGH,ZWZ
Home Appliances,810986,86,964.9,2023-12-25,HBBC,YZZ
Home Appliances,309728,59,808.22,2023-11-16,HEGG,XYY
Home Appliances,402067,38,617.52,2024-03-05,DEGH,XZX
Groceries,702105,24,465.17,2023-12-26,BHFH,ZWY
Clothing,487804,66,552.1,2023-06-13,EFGE,XWZ
Clothing,144812,27,865.2,2023-05-24,GFCB,ZYZ
Groceries,226600,45,367.94,2024-02-28,FEBA,WWX
Groceries,865804,37,677.82,2023-11-08,DHBE,XYX
Electronics,403210,13,625.56,2024-02-23,EGAB,XZZ
Electronics,086247,21,976.0,2023-07-03,CHFE,WYY
Electronics,641621,25,922.72,2024-04-09,HGDD,XXX
Home Appliances,397407,61,974.15,2024-04-27,ECFF,XWX
Clothing,357972,1,294.58,2023-12-18,GBEE,XXX
Electronics,279959,89,691.79,2024-01-06,EEDC,XWZ
Electronics,768979,13,663.71,2023-11-01,BDGD,YYZ
Home Appliances,903153,21,503.29,2023-12-12,HGGE,WZX
Electronics,269056,29,920.43,2023-09-28,CHGH,YZX
Groceries,326370,43,979.99,2023-09-09,ACEA,WWY
Electronics,916066,24,379.85,2023-11-01,HAED,XXW
Groceries,422872,69,214.76,2024-05-11,BGFH,XWZ
Electronics,414876,3,449.0,2023-11-24,BAFC,XWZ
Groceries,304064,10,739.59,2023-06-19,BHCG,WWZ
Electronics,078510,29,474.1,2024-02-12,AFCG,YZX
Electronics,385478,17,955.05,2024-03-17,ECFD,WXZ
Electronics,436858,27,938.73,2023-10-22,AAEB,ZZX
Electronics,346800,29,162.5,2023-11-20,EHGA,ZZZ
Groceries,019599,47,914.78,2023-06-12,EFDH,XYW
Home Appliances,187960,98,476.5,2023-07-27,GDCG,YWX
Groceries,439351,16,853.74,2023-10-07,BAEH,YWX
Electronics,634873,3,590.81,2023-08-21,ADFC,XYZ
Groceries,432933,46,344.63,2023-05-18,HCAE,XYW
Clothing,682394,11,382.47,2023-07-22,GAAB,ZZZ
Home Appliances,418191,70,642.0,2023-07-14,EECF,XXZ
Home Appliances,131696,96,431.44,2023-11-23,FEDE,XWW
